gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000176022	375.170013328391	0.241682926253115	0.281163747405109	0.859580683795948	0.390020226572532	0.700966871544471
ENSG00000184163	41.7782639448269	-0.0904347961192664	0.664706362750176	-0.136052249816143	0.891779975555431	NA
ENSG00000260179	25.6878492274669	-0.525989046106772	0.810711267976196	-0.648799476316414	0.516467996003949	NA
ENSG00000160087	1773.27833423827	0.0723208680037607	0.14494944655885	0.498938559067889	0.617822668772282	0.838887930045888
ENSG00000230415	41.8804919011154	0.199659315675238	0.641461253385724	0.311257016104103	0.755605241526596	NA
ENSG00000162572	114.434551542305	-0.370049940578364	0.41659196934021	-0.8882791023659	0.374390637862838	NA
ENSG00000131584	2362.87634240625	-0.809807521647858	0.161912188153427	-5.00152292970365	5.6879200405455e-07	0.000221184250643346
ENSG00000278073	0	NA	NA	NA	NA	NA
ENSG00000169972	1094.66079220288	-0.127641030293147	0.159999794761501	-0.797757462648072	0.425011250509784	0.729228715867824
ENSG00000127054	3007.2805561199	-0.137210452770638	0.112890533025023	-1.21542922239746	0.224202428196378	0.535495135161873
ENSG00000283712	0	NA	NA	NA	NA	NA
ENSG00000240731	105.588978625516	-0.845672488781888	0.473705416803493	-1.78522866487021	0.0742242342187078	NA
ENSG00000224051	794.888865880808	0.0865194624795055	0.20452489205045	0.423026564698852	0.672275879504925	0.870645027786906
ENSG00000169962	233.144339657172	-0.135996450202078	0.312082298967474	-0.435771111184527	0.663002805800771	0.864586489209903
ENSG00000107404	3137.36311484288	-0.50476220189397	0.127753207266808	-3.95107263992044	7.78017034841846e-05	0.00418815932878209
ENSG00000284372	0	NA	NA	NA	NA	NA
ENSG00000304860	128.962449659177	-0.637605820948971	0.401455025064372	-1.5882372398919	0.112232703143402	NA
ENSG00000162576	60.2298980255727	-0.856384129980558	0.549209325275541	-1.55930369454471	0.118924517715465	NA
ENSG00000175756	3252.16767357321	0.0143672442736085	0.125768968033999	0.114235208399934	0.909051342315794	0.969053529840366
ENSG00000223663	4.25958902624777	1.75943622120168	2.10038511669396	0.837673152041307	0.402214296009474	NA
ENSG00000221978	15586.8963293717	-0.318603639881173	0.0864294166448741	-3.68628705652694	0.000227549673479386	0.00864688759221667
ENSG00000224870	869.372520131404	-0.37737051056166	0.187212527059768	-2.01573322302938	0.0438278795810313	0.222884064164041
ENSG00000242485	2625.32037225468	0.0367922585531088	0.113414612098273	0.324404923425816	0.74563149277552	0.903181081374646
ENSG00000264293	0	NA	NA	NA	NA	NA
ENSG00000301639	178.257290811576	-0.328931391760494	0.317849340483779	-1.03486573626312	0.300731618108981	NA
ENSG00000272455	584.536237549574	0.217067566625171	0.19304115714117	1.12446262672592	0.260816816801789	0.578128250961367
ENSG00000235098	0.661584379862889	2.34208637872063	4.89027728384009	0.478927112468663	0.631990482192962	NA
ENSG00000225905	134.404342522291	0.733056963835902	0.498802080280266	1.46963493701553	0.141660652758868	NA
ENSG00000205116	53.2375335917408	-2.53524600471921	1.89610127524445	-1.33708364517205	0.181195335055372	NA
ENSG00000225285	2.64015431528026	-1.65011681231322	2.51405406076362	-0.656356932838593	0.511594493789468	NA
ENSG00000179403	431.545469881477	0.0950338802057401	0.302291280303644	0.314378503112233	0.753233581129871	0.904953162348117
