ensembl	log2FC
ENSG00000162599.18	-2.26193971794329
ENSG00000162604.13	-0.60744185033905
ENSG00000200575.1	-6.08539147031321
ENSG00000236646.1	-2.74328943309299
ENSG00000300813.1	-1.49257584067832
ENSG00000162607.13	-1.36941899602468
ENSG00000213703.2	-3.57892867948738
ENSG00000235545.2	-2.65018090229429
ENSG00000203965.13	-1.06354988866387
ENSG00000116652.7	-2.15520285485269
ENSG00000244256.3	-4.70153531417863
ENSG00000158966.16	-0.619804199644461
ENSG00000288804.2	-5.29068300904558
ENSG00000198160.15	-0.944774171528577
ENSG00000289394.2	-4.13762873286727
ENSG00000116704.8	-1.36308485176311
ENSG00000116717.13	-1.34202871858267
ENSG00000308605.1	-2.38794560074515
ENSG00000221203.1	-4.92327238363402
ENSG00000116754.14	-0.963952566922048
ENSG00000304098.1	-5.29068144202229
ENSG00000132485.14	-1.07521960775099
ENSG00000207721.1	-4.72975028520131
ENSG00000162623.16	-1.38302634779081
ENSG00000293044.2	-2.21918805098291
ENSG00000137955.16	-2.27783763543359
ENSG00000289212.2	-2.17956862504749
ENSG00000036549.13	-1.64397689060278
ENSG00000077254.14	-0.97393815972204
ENSG00000235613.2	-2.89033517964659
ENSG00000232015.2	-2.63943362806403
ENSG00000162613.18	-1.7224266016018
ENSG00000271576.3	-1.66705889541986
ENSG00000213540.3	-4.42465482178806
ENSG00000203943.9	-2.65285738192641
ENSG00000117133.11	-1.23941450998591
ENSG00000174021.12	-1.78327333471852
ENSG00000285851.1	-2.03274804821161
ENSG00000097096.10	-0.871375079658573
ENSG00000142867.14	-1.00531072631665
ENSG00000142871.18	-0.812447968516889
ENSG00000117174.11	-1.66150213887874
ENSG00000143013.13	-0.924418760742179
ENSG00000065243.20	-0.601371898449062
ENSG00000207234.1	-3.9353475680138
ENSG00000241975.1	-2.4464920975342
ENSG00000137947.12	-0.698612698295761
ENSG00000213516.10	-1.41336746201414
ENSG00000117226.13	-1.15441938624127
ENSG00000197147.15	-1.20971052101763
ENSG00000272931.1	-5.23351254189287
ENSG00000299996.1	-3.75886188183112
ENSG00000122482.22	-1.76812123204488
ENSG00000294197.1	-3.72994511342311
ENSG00000097046.13	-1.71293842705016
ENSG00000308368.1	-4.2449696634345
ENSG00000239794.3	-6.52463781829548
ENSG00000174842.17	-1.49005275344166
ENSG00000067208.17	-0.987953469967502
ENSG00000223787.2	-2.99125793836136
ENSG00000201317.1	-4.28623028124552
ENSG00000207523.1	-1.0687783246078
ENSG00000143033.18	-0.644664317287471
ENSG00000137942.18	-0.758361992987949
ENSG00000137936.18	-2.7876229907563
ENSG00000067334.14	-1.33830141702994
ENSG00000137962.13	-2.16845794680301
ENSG00000236098.2	-2.1150481212843
ENSG00000117525.14	-2.10708877863881
ENSG00000235501.10	-1.76232338566977
ENSG00000231992.2	-2.36605108918343
ENSG00000271092.5	-3.93460030730673
ENSG00000122481.17	-1.91551167703756
ENSG00000117569.20	-1.82179992783865
ENSG00000156875.14	-1.11799412523168
ENSG00000156876.10	-0.830906160583155
ENSG00000122435.11	-1.25103296925123
ENSG00000207750.1	-2.42259887990557
ENSG00000117543.22	-1.13700562074288
ENSG00000185946.16	-0.77025023475014
ENSG00000294279.1	-1.4875987810225
ENSG00000198890.9	-2.35832427152002
ENSG00000162639.16	-0.846284472521589
ENSG00000285923.2	-2.0561868020597
ENSG00000134186.12	-2.65730124162997
ENSG00000116266.11	-1.40606314716396
ENSG00000215717.7	-0.686529056490744
ENSG00000270066.4	-1.75245977342223
ENSG00000162650.17	-0.94271053923401
ENSG00000174151.15	-1.97634812475275
ENSG00000198758.11	-1.81632117525428
ENSG00000261055.2	-1.19375209587309
ENSG00000184371.14	-0.925267893395888
ENSG00000162775.17	-0.800207924381997
ENSG00000121931.16	-1.2166588768813
ENSG00000243960.1	-1.2227971819707
ENSG00000116455.14	-0.781551195395595
ENSG00000064703.13	-2.08985691443862
ENSG00000143079.15	-1.08723995078357
ENSG00000226419.10	-1.9302258724875
ENSG00000198799.12	-0.97480355001222
ENSG00000232499.2	-3.11677819915501
ENSG00000188761.13	-0.974092157093095
ENSG00000134262.15	-2.32785997046309
ENSG00000118655.8	-1.48648479238475
ENSG00000197323.12	-0.64037831234359
ENSG00000134198.10	-2.25983152647777
ENSG00000302114.1	-5.42382952103369
ENSG00000163393.13	-1.27421934352231
ENSG00000203865.13	-1.22412832835591
ENSG00000116815.16	-1.21366211708941
ENSG00000177173.5	-2.63046487330331
ENSG00000215930.1	-6.38748891553862
ENSG00000198162.12	-1.24800765382832
ENSG00000279513.1	-1.4855944351582
ENSG00000065183.16	-1.6266736322461
ENSG00000116874.12	-0.744609715594941
ENSG00000223575.2	-5.61085675308115
ENSG00000231365.8	-1.40792229278149
ENSG00000143067.5	-1.07832003545813
ENSG00000296885.1	-6.08972752236537
ENSG00000270231.5	-1.54149296897866
ENSG00000296642.1	-2.11802342636163
ENSG00000275131.5	-2.27622673940016
ENSG00000290999.2	-3.50559334445305
ENSG00000295970.1	-2.12463008342629
ENSG00000286106.3	-1.50432280600923
ENSG00000287979.2	-1.92135313297806
ENSG00000226067.8	-0.904861839677908
ENSG00000207205.1	-2.62918674164406
ENSG00000266338.7	-0.67801506193947
ENSG00000290867.2	-1.49102109414049
ENSG00000276216.2	-1.22897271344885
ENSG00000303404.1	-2.46272525832878
ENSG00000186141.10	-1.52783876427517
ENSG00000265972.6	-1.19918311723489
ENSG00000287190.2	-1.26256992065977
ENSG00000287978.2	-3.76601453735651
ENSG00000273768.1	-5.24005950659331
ENSG00000274428.1	-4.30346746447532
ENSG00000268043.9	-0.865086388571574
ENSG00000286172.1	-5.53810434451196
ENSG00000293279.2	-1.70061456635196
ENSG00000131778.20	-3.96285217747636
ENSG00000116128.12	-0.799321502265293
ENSG00000289419.1	-5.64662506339945
ENSG00000162836.12	-0.901578262121055
ENSG00000188092.15	-1.06426393187747
ENSG00000263956.8	-1.74908670651654
ENSG00000274020.6	-0.669035852523534
ENSG00000199879.1	-3.22150632454851
ENSG00000274210.1	-2.87264421569122
ENSG00000178104.22	-0.912372067375031
ENSG00000269713.9	-1.28828826232585
ENSG00000274265.6	-2.20781669271573
ENSG00000286219.2	-1.89945820325684
ENSG00000271383.9	-2.17855092439794
ENSG00000203814.7	-1.86826483010568
ENSG00000183598.4	-2.02631780415566
ENSG00000184678.11	-0.739521914104897
ENSG00000184260.6	-0.866476013092541
ENSG00000184270.6	-1.16171638297628
ENSG00000136631.16	-0.887271977028065
ENSG00000117360.13	-1.46846834500702
ENSG00000143384.14	-1.34226886307179
ENSG00000143420.19	-0.608856275884187
ENSG00000143457.11	-0.626495074326204
ENSG00000143379.13	-2.29829412252373
ENSG00000143363.17	-0.707391959988381
ENSG00000197622.13	-1.3979303244442
ENSG00000163156.12	-1.90076904223261
ENSG00000163159.15	-1.73899497274463
ENSG00000143393.17	-0.764637723174944
ENSG00000265753.2	-6.37391901281815
ENSG00000143442.24	-0.659668109361175
ENSG00000229021.3	-0.685363564840609
ENSG00000163209.15	-3.48078686936751
ENSG00000203783.5	-3.52152244846379
ENSG00000238279.4	-4.01305703345383
ENSG00000297700.1	-1.645538769009
ENSG00000160679.14	-2.91593684197551
ENSG00000143624.14	-0.768482066341826
ENSG00000289935.2	-1.22959269507906
ENSG00000143543.15	-1.13716753945373
ENSG00000143545.10	-0.918685228151397
ENSG00000143569.20	-1.03013639430979
ENSG00000160714.11	-0.659230445825378
ENSG00000301669.1	-2.63540441985735
ENSG00000233875.1	-2.30790071693826
ENSG00000271380.1	-2.13637896560114
ENSG00000160688.19	-0.936046650970663
ENSG00000289103.3	-2.68940407608664
ENSG00000160685.14	-1.18404623777557
ENSG00000232093.2	-0.974446550120768
ENSG00000243364.8	-2.43435229356761
ENSG00000169242.12	-3.37432812440381
ENSG00000163463.13	-2.58372296541155
ENSG00000173171.15	-0.701624836209513
ENSG00000235919.6	-0.765511552443026
ENSG00000163374.21	-0.822459383864265
ENSG00000132680.11	-0.984136066279054
ENSG00000207475.1	-2.21423920819384
ENSG00000160818.17	-2.20795842532803
ENSG00000143319.18	-1.02377806933874
ENSG00000143294.15	-1.45482178682262
ENSG00000132694.20	-0.859971903241635
ENSG00000266160.2	-5.39374153414424
ENSG00000226520.1	-2.86969905906083
ENSG00000272668.3	-1.99173275535266
ENSG00000132716.19	-1.14431403086123
ENSG00000202078.1	-3.38798265811458
ENSG00000158773.14	-1.1443301755634
ENSG00000289121.2	-1.36715959490619
