ensembl_id	ensembl	log2FC	hgnc_symbol
ENSG00000059588	ENSG00000059588.10	-1.86507982750691	TARBP1
ENSG00000059758	ENSG00000059758.8	-1.89892635519233	CDK17
ENSG00000059804	ENSG00000059804.18	-2.19489933930981	SLC2A3
ENSG00000060069	ENSG00000060069.18	-1.07839975299787	CTDP1
ENSG00000060339	ENSG00000060339.14	-1.06579336719149	CCAR1
ENSG00000061656	ENSG00000061656.11	-1.58482369969893	SPAG4
ENSG00000061936	ENSG00000061936.10	-2.17225537448461	SFSWAP
ENSG00000062194	ENSG00000062194.16	-1.54940581716207	GPBP1
ENSG00000062370	ENSG00000062370.17	-1.97216099179083	ZNF112
ENSG00000062582	ENSG00000062582.14	-1.53753588365657	MRPS24
ENSG00000062650	ENSG00000062650.20	-2.0119960902449	WAPL
ENSG00000062716	ENSG00000062716.13	-1.46262795080789	VMP1
ENSG00000062725	ENSG00000062725.10	-1.04325641815749	APPBP2
ENSG00000063176	ENSG00000063176.16	-1.22465346519928	SPHK2
ENSG00000064102	ENSG00000064102.15	-1.9991401208909	INTS13
ENSG00000064607	ENSG00000064607.17	-1.02176804740387	SUGP2
ENSG00000064703	ENSG00000064703.13	-2.08985691443862	DDX20
ENSG00000064933	ENSG00000064933.19	-1.55534940502328	PMS1
ENSG00000064995	ENSG00000064995.19	-1.56855561175205	TAF11
ENSG00000065183	ENSG00000065183.16	-1.6266736322461	WDR3
ENSG00000065613	ENSG00000065613.15	-1.07914056161192	SLK
ENSG00000065883	ENSG00000065883.18	-1.63263195436678	CDK13
ENSG00000066084	ENSG00000066084.13	-1.28635467307414	DIP2B
ENSG00000066422	ENSG00000066422.7	-1.19939275264853	ZBTB11
ENSG00000066455	ENSG00000066455.13	-1.0230686335042	GOLGA5
ENSG00000066468	ENSG00000066468.24	-1.2295828532621	FGFR2
ENSG00000066651	ENSG00000066651.20	-1.48588334730596	TRMT11
ENSG00000066654	ENSG00000066654.14	-1.35406881179263	THUMPD1
ENSG00000066697	ENSG00000066697.15	-2.01812530909576	MSANTD3
ENSG00000066827	ENSG00000066827.16	-2.34566150889703	ZFAT
ENSG00000066933	ENSG00000066933.17	-1.17363875871062	MYO9A
ENSG00000067048	ENSG00000067048.17	-1.27930245901039	DDX3Y
ENSG00000067182	ENSG00000067182.9	-1.82231653225455	TNFRSF1A
ENSG00000067191	ENSG00000067191.17	-1.08387746118643	CACNB1
ENSG00000067334	ENSG00000067334.14	-1.33830141702994	DNTTIP2
ENSG00000067369	ENSG00000067369.14	-1.30829083259759	TP53BP1
ENSG00000067533	ENSG00000067533.6	-1.08306916164624	RRP15
ENSG00000067646	ENSG00000067646.12	-2.83799745663483	ZFY
ENSG00000067798	ENSG00000067798.16	-2.5424679672756	NAV3
ENSG00000068097	ENSG00000068097.16	-2.41376883036603	HEATR6
ENSG00000068745	ENSG00000068745.15	-1.48606102278143	IP6K2
ENSG00000069011	ENSG00000069011.16	-1.99795533952401	PITX1
ENSG00000069345	ENSG00000069345.12	-1.70297438267196	DNAJA2
ENSG00000069509	ENSG00000069509.6	-1.02668317155403	FUNDC1
ENSG00000069667	ENSG00000069667.16	-1.99008052064008	RORA
ENSG00000070047	ENSG00000070047.13	-1.06557283679661	PHRF1
ENSG00000070159	ENSG00000070159.14	-1.2980785090805	PTPN3
ENSG00000070444	ENSG00000070444.15	-1.19923905624213	MNT
ENSG00000070476	ENSG00000070476.15	-2.03426645950901	ZXDC
ENSG00000070501	ENSG00000070501.12	-1.00989178187317	POLB
ENSG00000070778	ENSG00000070778.13	-1.58212069971631	PTPN21
ENSG00000071189	ENSG00000071189.21	-1.67413916138562	SNX13
ENSG00000071205	ENSG00000071205.12	-1.97976409212897	ARHGAP10
ENSG00000071243	ENSG00000071243.16	-2.91417058220365	ING3
ENSG00000071282	ENSG00000071282.12	-1.44512388657691	LMCD1
ENSG00000071575	ENSG00000071575.12	-1.98396811207259	TRIB2
ENSG00000071994	ENSG00000071994.11	-1.39725130510846	PDCD2
ENSG00000072134	ENSG00000072134.16	-1.02960599474031	EPN2
ENSG00000072422	ENSG00000072422.17	-1.39719688351844	RHOBTB1
ENSG00000072756	ENSG00000072756.18	-1.51213975169653	TRNT1
ENSG00000072803	ENSG00000072803.18	-1.16256125990936	FBXW11
ENSG00000073008	ENSG00000073008.16	-1.09269931905552	PVR
ENSG00000073417	ENSG00000073417.15	-1.16219034754314	PDE8A
ENSG00000073536	ENSG00000073536.18	-1.65887767157943	NLE1
ENSG00000073711	ENSG00000073711.11	-1.68448191728934	PPP2R3A
ENSG00000074266	ENSG00000074266.24	-1.4849528629779	EED
ENSG00000074582	ENSG00000074582.15	-1.4896563802136	BCS1L
ENSG00000074590	ENSG00000074590.14	-1.47469341718525	NUAK1
ENSG00000074964	ENSG00000074964.17	-1.08996737298966	ARHGEF10L
ENSG00000075336	ENSG00000075336.12	-2.31984823322326	TIMM21
ENSG00000075413	ENSG00000075413.19	-1.06870414512912	MARK3
ENSG00000075539	ENSG00000075539.15	-1.01119585575995	FRYL
ENSG00000075711	ENSG00000075711.21	-1.18716646690263	DLG1
ENSG00000075790	ENSG00000075790.12	-1.97171272461845	BCAP29
ENSG00000075856	ENSG00000075856.12	-1.51691343369875	SART3
ENSG00000075914	ENSG00000075914.13	-1.42544653159236	EXOSC7
ENSG00000075975	ENSG00000075975.17	-1.03805976986824	MKRN2
ENSG00000076053	ENSG00000076053.12	-1.79176005147006	RBM7
ENSG00000076248	ENSG00000076248.12	-1.00970631729585	UNG
ENSG00000076321	ENSG00000076321.11	-1.49218853020968	KLHL20
ENSG00000076604	ENSG00000076604.16	-2.60363165479081	TRAF4
ENSG00000077044	ENSG00000077044.11	-1.28104861821714	DGKD
ENSG00000077238	ENSG00000077238.14	-2.34513019829569	IL4R
ENSG00000077514	ENSG00000077514.9	-1.18739560085785	POLD3
ENSG00000077684	ENSG00000077684.16	-1.07228725132999	JADE1
ENSG00000078043	ENSG00000078043.16	-1.63043818928967	PIAS2
ENSG00000078177	ENSG00000078177.15	-1.10798024343929	N4BP2
ENSG00000078399	ENSG00000078399.19	-1.45679966121416	HOXA9
ENSG00000078401	ENSG00000078401.7	-2.78481050123388	EDN1
ENSG00000078403	ENSG00000078403.17	-2.0069480787939	MLLT10
ENSG00000078579	ENSG00000078579.9	-2.89305236290599	FGF20
ENSG00000078747	ENSG00000078747.17	-1.45736507187915	ITCH
ENSG00000078900	ENSG00000078900.16	-1.20448737341246	TP73
ENSG00000079134	ENSG00000079134.13	-1.44120046202543	THOC1
ENSG00000079337	ENSG00000079337.16	-2.11465553966207	RAPGEF3
ENSG00000079691	ENSG00000079691.19	-1.12687520006549	CARMIL1
ENSG00000079950	ENSG00000079950.14	-1.2208197263209	STX7
ENSG00000079999	ENSG00000079999.14	-1.37391717254344	KEAP1
ENSG00000080345	ENSG00000080345.18	-1.64475600257233	RIF1
ENSG00000080546	ENSG00000080546.14	-1.68849267383145	SESN1
ENSG00000080608	ENSG00000080608.10	-1.98446708194108	PUM3
ENSG00000080822	ENSG00000080822.17	-1.01723955020073	CLDND1
ENSG00000080986	ENSG00000080986.13	-1.02904202301017	NDC80
ENSG00000081041	ENSG00000081041.9	-3.00306701480038	CXCL2
ENSG00000081059	ENSG00000081059.20	-1.12691735113409	TCF7
ENSG00000081138	ENSG00000081138.14	-1.92969340162888	CDH7
ENSG00000081177	ENSG00000081177.19	-1.89576469605441	EXD2
ENSG00000081320	ENSG00000081320.12	-1.67687668817747	STK17B
ENSG00000081692	ENSG00000081692.13	-2.04605596746853	JMJD4
ENSG00000081721	ENSG00000081721.12	-1.61800459725886	DUSP12
ENSG00000081870	ENSG00000081870.12	-1.12820937848217	IFT25
ENSG00000081913	ENSG00000081913.14	-1.04107241475769	PHLPP1
ENSG00000082068	ENSG00000082068.9	-1.03568305504229	WDR70
ENSG00000082258	ENSG00000082258.13	-1.62673655284476	CCNT2
ENSG00000082269	ENSG00000082269.17	-2.15850719605989	FAM135A
ENSG00000082497	ENSG00000082497.12	-1.10454653777481	SERTAD4
ENSG00000082512	ENSG00000082512.15	-1.32003703755807	TRAF5
ENSG00000082516	ENSG00000082516.9	-1.27763993009596	GEMIN5
ENSG00000083093	ENSG00000083093.12	-1.42312442571334	PALB2
ENSG00000083097	ENSG00000083097.15	-2.15066467819227	DOP1A
ENSG00000083168	ENSG00000083168.11	-1.19462271801637	KAT6A
ENSG00000083544	ENSG00000083544.16	-1.67330513934703	TDRD3
ENSG00000083635	ENSG00000083635.8	-1.36658720811491	NUFIP1
ENSG00000083642	ENSG00000083642.19	-1.32234031997565	PDS5B
ENSG00000083750	ENSG00000083750.13	-2.20753871416631	RRAGB
ENSG00000083817	ENSG00000083817.9	-3.19553477850524	ZNF416
ENSG00000083828	ENSG00000083828.16	-1.31284970309581	ZNF586
ENSG00000084093	ENSG00000084093.19	-1.05213605195505	REST
ENSG00000084112	ENSG00000084112.15	-1.32478660323061	SSH1
ENSG00000085224	ENSG00000085224.23	-1.10454178209158	ATRX
ENSG00000085231	ENSG00000085231.14	-2.33564157031206	AK6
ENSG00000085274	ENSG00000085274.16	-1.45898984166123	MYNN
ENSG00000085382	ENSG00000085382.12	-1.01118883320644	HACE1
ENSG00000085415	ENSG00000085415.16	-1.07289392627818	SEH1L
ENSG00000085511	ENSG00000085511.20	-1.7252172990469	MAP3K4
ENSG00000085662	ENSG00000085662.14	-1.92983219736279	AKR1B1
ENSG00000085760	ENSG00000085760.15	-1.25249599600194	MTIF2
ENSG00000085788	ENSG00000085788.14	-1.0831858056064	DDHD2
ENSG00000086061	ENSG00000086061.16	-1.59481815665008	DNAJA1
ENSG00000086102	ENSG00000086102.19	-1.15872270323045	NFX1
ENSG00000086189	ENSG00000086189.11	-2.89132792139258	DIMT1
ENSG00000086544	ENSG00000086544.4	-1.53429924141411	ITPKC
ENSG00000086589	ENSG00000086589.12	-1.2326845500256	RBM22
ENSG00000087053	ENSG00000087053.20	-1.19858834460042	MTMR2
ENSG00000087074	ENSG00000087074.9	-1.51474743578776	PPP1R15A
ENSG00000087077	ENSG00000087077.14	-1.04175371899192	TRIP6
ENSG00000087152	ENSG00000087152.16	-1.57816669099351	ATXN7L3
ENSG00000087495	ENSG00000087495.17	-3.74207276205263	PHACTR3
ENSG00000087510	ENSG00000087510.7	-2.22983364307627	TFAP2C
ENSG00000087586	ENSG00000087586.18	-1.27605253542621	AURKA
ENSG00000088002	ENSG00000088002.12	-1.05767620598881	SULT2B1
ENSG00000088179	ENSG00000088179.9	-1.02201484312257	PTPN4
ENSG00000088808	ENSG00000088808.18	-1.11814381173325	PPP1R13B
ENSG00000088876	ENSG00000088876.13	-1.64921823643785	ZNF343
ENSG00000089022	ENSG00000089022.15	-1.36671791165332	MAPKAPK5
ENSG00000089048	ENSG00000089048.15	-2.05203625402923	ESF1
ENSG00000089060	ENSG00000089060.12	-1.03181555756575	SLC8B1
ENSG00000089094	ENSG00000089094.21	-1.932632051235	KDM2B
ENSG00000089195	ENSG00000089195.15	-1.28505185601641	TRMT6
ENSG00000089356	ENSG00000089356.19	-4.12223102067306	FXYD3
ENSG00000089818	ENSG00000089818.18	-1.28069585690444	NECAP1
ENSG00000089876	ENSG00000089876.12	-1.2886279163433	DHX32
ENSG00000089902	ENSG00000089902.10	-1.19867558457598	RCOR1
ENSG00000090447	ENSG00000090447.12	-1.36293342117683	TFAP4
ENSG00000090612	ENSG00000090612.22	-1.23799738066307	ZNF268
ENSG00000090621	ENSG00000090621.15	-1.84099947755024	PABPC4
ENSG00000090905	ENSG00000090905.19	-1.68596736475398	TNRC6A
ENSG00000091073	ENSG00000091073.20	-1.1329172546003	DTX2
ENSG00000091527	ENSG00000091527.17	-1.53205544946689	CDV3
ENSG00000091732	ENSG00000091732.18	-1.63886149789647	ZC3HC1
ENSG00000092020	ENSG00000092020.11	-1.74767814079663	PPP2R3C
ENSG00000092094	ENSG00000092094.11	-1.21889133272297	OSGEP
ENSG00000092098	ENSG00000092098.18	-1.42425389574968	RNF31
ENSG00000092148	ENSG00000092148.14	-1.24205697202868	HECTD1
ENSG00000092208	ENSG00000092208.19	-1.94311575124314	GEMIN2
ENSG00000092295	ENSG00000092295.12	-1.59887153924525	TGM1
ENSG00000092969	ENSG00000092969.12	-1.62578679347206	TGFB2
ENSG00000093000	ENSG00000093000.19	-1.30809786035034	NUP50
ENSG00000093100	ENSG00000093100.13	-3.02087339308541	ENSG00000093100
ENSG00000093167	ENSG00000093167.18	-1.13144732402903	LRRFIP2
ENSG00000094841	ENSG00000094841.14	-1.16758761839073	UPRT
ENSG00000095015	ENSG00000095015.6	-2.04408311756907	MAP3K1
ENSG00000095059	ENSG00000095059.17	-3.22520912660565	DHPS
ENSG00000095383	ENSG00000095383.20	-1.55121001748372	TBC1D2
ENSG00000095739	ENSG00000095739.11	-2.47190321019658	BAMBI
ENSG00000095787	ENSG00000095787.26	-1.19741829755595	WAC
ENSG00000095951	ENSG00000095951.18	-1.58093292845918	HIVEP1
ENSG00000096654	ENSG00000096654.16	-2.33630537878698	ZNF184
ENSG00000096717	ENSG00000096717.12	-1.93714186267602	SIRT1
ENSG00000096968	ENSG00000096968.14	-1.70577728279796	JAK2
ENSG00000097046	ENSG00000097046.13	-1.71293842705016	CDC7
ENSG00000099622	ENSG00000099622.14	-1.57942894575397	CIRBP
ENSG00000099812	ENSG00000099812.9	-1.3623931376921	MISP
ENSG00000099849	ENSG00000099849.15	-1.93474871313929	RASSF7
ENSG00000099860	ENSG00000099860.10	-1.0818216246966	GADD45B
ENSG00000099899	ENSG00000099899.16	-1.11934790485325	TRMT2A
ENSG00000099910	ENSG00000099910.17	-1.45282490035228	KLHL22
ENSG00000099942	ENSG00000099942.13	-1.10801135312101	CRKL
ENSG00000099949	ENSG00000099949.22	-1.30710528910031	LZTR1
ENSG00000099992	ENSG00000099992.16	-1.09452597319699	TBC1D10A
ENSG00000100014	ENSG00000100014.20	-1.25457292571972	SPECC1L
ENSG00000100029	ENSG00000100029.18	-1.29725264940912	PES1
ENSG00000100036	ENSG00000100036.13	-2.23660843280709	SLC35E4
ENSG00000100038	ENSG00000100038.20	-1.35564725568003	TOP3B
ENSG00000100083	ENSG00000100083.20	-1.07955103688597	GGA1
ENSG00000100104	ENSG00000100104.13	-1.76709606036867	SRRD
ENSG00000100105	ENSG00000100105.18	-1.32397868655794	PATZ1
ENSG00000100109	ENSG00000100109.17	-1.24983866245493	TFIP11
ENSG00000100150	ENSG00000100150.20	-1.34233723183125	DEPDC5
ENSG00000100151	ENSG00000100151.16	-1.05261877054631	PICK1
ENSG00000100207	ENSG00000100207.21	-1.86143219156001	TCF20
ENSG00000100219	ENSG00000100219.17	-1.05163472547388	XBP1
ENSG00000100225	ENSG00000100225.18	-1.34647770866419	FBXO7
ENSG00000100227	ENSG00000100227.19	-1.74716468538175	POLDIP3
ENSG00000100228	ENSG00000100228.14	-3.1347281326746	RAB36
ENSG00000100281	ENSG00000100281.14	-1.33176839453138	HMGXB4
ENSG00000100288	ENSG00000100288.20	-9.53862735327755	CHKB
ENSG00000100292	ENSG00000100292.18	-2.87342860560055	HMOX1
ENSG00000100294	ENSG00000100294.13	-1.40595981312546	MCAT
ENSG00000100311	ENSG00000100311.17	-1.58294727006469	PDGFB
ENSG00000100324	ENSG00000100324.14	-1.2167229490266	TAB1
ENSG00000100335	ENSG00000100335.15	-1.56441239305887	MIEF1
ENSG00000100359	ENSG00000100359.21	-1.12236851982642	SGSM3
ENSG00000100360	ENSG00000100360.15	-1.32146127226703	IFT27
ENSG00000100376	ENSG00000100376.12	-1.71032018655965	FAM118A
ENSG00000100395	ENSG00000100395.15	-1.67880875369477	L3MBTL2
ENSG00000100410	ENSG00000100410.8	-1.07350762590592	PHF5A
ENSG00000100429	ENSG00000100429.18	-2.62591053699304	HDAC10
ENSG00000100479	ENSG00000100479.14	-1.25818869847672	POLE2
ENSG00000100483	ENSG00000100483.14	-1.08243287965332	VCPKMT
ENSG00000100503	ENSG00000100503.27	-1.14783775310725	NIN
ENSG00000100519	ENSG00000100519.12	-1.36870248622292	PSMC6
ENSG00000100575	ENSG00000100575.14	-1.58670405459078	TIMM9
ENSG00000100583	ENSG00000100583.5	-1.93645834337323	SAMD15
ENSG00000100601	ENSG00000100601.10	-1.21038457616615	ALKBH1
ENSG00000100603	ENSG00000100603.14	-1.63047963383429	SNW1
ENSG00000100650	ENSG00000100650.16	-1.13884985740968	SRSF5
ENSG00000100697	ENSG00000100697.17	-1.1852229787664	DICER1
ENSG00000100796	ENSG00000100796.18	-2.21402024630525	PPP4R3A
ENSG00000100813	ENSG00000100813.15	-1.26214232970909	ACIN1
ENSG00000100815	ENSG00000100815.12	-1.5386322447366	TRIP11
ENSG00000100906	ENSG00000100906.12	-1.34701455895824	NFKBIA
ENSG00000100941	ENSG00000100941.9	-1.3794168227761	PNN
ENSG00000100949	ENSG00000100949.15	-1.04757863935626	RABGGTA
ENSG00000101040	ENSG00000101040.20	-1.99495624213588	ZMYND8
ENSG00000101138	ENSG00000101138.12	-1.95302748949897	CSTF1
ENSG00000101146	ENSG00000101146.13	-1.04401221840672	RAE1
ENSG00000101189	ENSG00000101189.7	-2.13655054068399	MRGBP
ENSG00000101191	ENSG00000101191.17	-1.23970343389928	DIDO1
ENSG00000101199	ENSG00000101199.13	-1.03602123759654	ARFGAP1
ENSG00000101216	ENSG00000101216.11	-1.356770904696	GMEB2
ENSG00000101246	ENSG00000101246.20	-1.6564992127905	ARFRP1
ENSG00000101247	ENSG00000101247.18	-1.20008679226744	NDUFAF5
ENSG00000101255	ENSG00000101255.13	-2.06852985739461	TRIB3
ENSG00000101311	ENSG00000101311.17	-1.11614009636061	FERMT1
ENSG00000101342	ENSG00000101342.10	-1.39146901765444	TLDC2
ENSG00000101361	ENSG00000101361.17	-1.52924537432967	NOP56
ENSG00000101384	ENSG00000101384.12	-1.15441882993335	JAG1
ENSG00000101391	ENSG00000101391.21	-1.88435317582191	CDK5RAP1
ENSG00000101407	ENSG00000101407.13	-1.58366518584428	TTI1
