ensembl	log2FC
ENSG00000284696.3	7.70655982486103
ENSG00000123080.12	0.852199981040519
ENSG00000213478.2	5.07235305802201
ENSG00000203356.3	2.89683058955215
ENSG00000233406.5	5.77880190492547
ENSG00000294499.1	4.3426704862371
ENSG00000261664.6	1.34866798189532
ENSG00000232027.2	7.77680381247351
ENSG00000236973.2	6.39853968451869
ENSG00000272175.1	4.49425281276899
ENSG00000230604.2	6.09717720760356
ENSG00000169213.7	2.03086711341715
ENSG00000117862.14	1.63053916848815
ENSG00000272371.2	2.67720303537962
ENSG00000203995.11	8.43545293448484
ENSG00000116171.19	0.60113977857872
ENSG00000174348.14	3.69082125462932
ENSG00000162383.13	5.29454615424996
ENSG00000235563.2	4.4744583742838
ENSG00000157193.18	0.718468427054514
ENSG00000228838.1	5.96463866485635
ENSG00000232762.1	4.2791019257611
ENSG00000174332.6	7.3072785489972
ENSG00000058799.15	1.02420692610847
ENSG00000219102.3	7.07136239627893
ENSG00000203985.11	2.49800223478518
ENSG00000116209.12	1.46390000330987
ENSG00000280378.1	1.16972912659045
ENSG00000116205.14	0.637893870789608
ENSG00000280425.3	8.87447305682231
ENSG00000116221.15	0.927812275490609
ENSG00000198711.5	7.80582965622333
ENSG00000184313.20	4.01944934759224
ENSG00000006555.11	5.24640088129402
ENSG00000237453.2	5.97521562003663
ENSG00000162398.12	5.39347025495495
ENSG00000116133.13	1.67560812706686
ENSG00000287724.1	6.01938266678639
ENSG00000162399.9	4.00872801845797
ENSG00000169174.13	1.29728734090224
ENSG00000231090.2	6.31476616531726
ENSG00000231095.1	6.02783822068895
ENSG00000297128.1	6.59525941587191
ENSG00000270209.1	6.1297972753449
ENSG00000184292.7	0.874503296233933
ENSG00000299892.1	2.60479896041335
ENSG00000185839.3	3.28081851865616
ENSG00000177606.9	0.834001397892353
ENSG00000234807.10	0.890917134866084
ENSG00000134716.11	0.941095454418236
ENSG00000296273.1	5.860704132701
ENSG00000287224.2	4.43646937703379
ENSG00000240563.3	6.41763298414556
